primary_label,rating,count
21038,0,2
21116,0,2
21211,0,8
21211,2,4
21211,3,44
21211,4,19
21211,5,1
22333,0,43
22333,3,1
22333,4,2
22333,5,1
22973,0,40
22973,3,1
22973,4,9
22973,4.5,1
22973,5,2
22976,0,41
22976,4,1
22976,5,2
24272,0,4
24272,4,1
24272,5,1
24292,0,3
24322,0,6
24322,4,6
24322,5,1
41663,0,105
41663,3,1
41663,5,2
41778,0,1
41778,4,1
41970,0,4
41970,1,4
41970,2,7
42007,0,19
42087,0,2
42113,0,2
46010,0,4
46010,5,1
47067,0,2
48124,0,20
50186,0,30
52884,0,33
64862,0,2
65336,0,6
65344,0,14
65344,4,1
65344,5,1
65349,0,14
65349,4.5,1
65349,5,1
65373,0,26
65373,4,4
65373,5,2
65419,0,3
65448,0,79
65448,4,1
65448,4.5,1
65448,5,1
65547,0,6
65547,4,1
65962,0,20
65962,5,1
66016,0,1
66016,5,1
66531,0,2
66578,0,2
66893,0,3
66893,3,1
66893,4,1
67082,0,2
67252,0,2
67252,4,11
67252,5,1
81930,0,2
126247,0,5
126247,3.5,1
134933,0,3
134933,4,1
135045,0,10
476537,0,2
476538,0,4
476538,4.5,1
517119,0,56
517119,5,2
523060,0,4
528041,0,2
548639,0,5
555086,0,10
555086,4,12
555086,5,3
555142,0,6
566513,0,22
566513,4,1
714022,0,5
715170,0,17
787625,0,7
868458,0,4
963335,0,5
1139490,0,2
1192948,0,4
1194042,0,3
1346504,0,5
1462711,0,3
1462737,0,7
1564122,0,6
amakin1,0,10
amakin1,0.5,1
amakin1,1.5,1
amakin1,2,1
amakin1,2.5,1
amakin1,3,10
amakin1,3.5,6
amakin1,4,29
amakin1,4.5,8
amakin1,5,22
amekes,0,277
amekes,1,1
amekes,2,4
amekes,3,26
amekes,3.5,1
amekes,4,58
amekes,5,42
ampkin1,0,1
ampkin1,0.5,1
ampkin1,2,2
ampkin1,3,8
ampkin1,3.5,3
ampkin1,4,7
ampkin1,5,6
anhing,0,31
anhing,1,2
anhing,2,1
anhing,3,7
anhing,3.5,1
anhing,4,24
anhing,5,25
babwar,0,90
babwar,2,6
babwar,3,15
babwar,4,35
babwar,5,21
